Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
284,3663,63,0,1,1571.786499,703.0561523,10.03370762,8.877256393,1571.786499,2751.056152,7.865168571,5.012635231,18.98876381,12.70758152,2.348314524,1.629963875,2.235955,2.018050432,60.98876572,32.56498337,10.59550571,6.164259911,23.02247238,20.32851982
285,3669,69,0,1,1675.111084,500.8412781,11.50793648,6.235478878,1675.111084,2548.841309,6.126984119,3.54788065,70.07936859,29.64521217,7.396825314,3.329670429,2.904761791,1.902668715,45.30158615,21.97174263,7.682539463,4.153846264,22.69841194,21.75039291
286,3675,75,0,1,1392.018555,981.9074097,8.907407761,8.913385391,1392.018555,3029.907471,9.407407761,7.976377964,30.05555534,28.22047234,1.166666627,3.944881916,3.555555582,4.96062994,38.87036896,33.71653366,10.33333302,10.09448814,4.70370388,5.133858204
287,3678,78,0,1,747.5504761,1092.550415,59.40367126,65.01013184,747.5504761,3140.550537,8.128439903,6.170608044,17.04587173,10.50337791,5.550458908,4.341216087,3.018348694,2.582770348,21.51376152,10.64864826,7.724770546,4.422297478,4.605504513,5.697635174
288,3684,84,0,1,986.0875244,843.75,11.19999981,13.54621887,986.0875244,2891.75,11.88749981,10.63445377,21.3125,22,3.487499952,2.743697405,2.474999905,2.815125942,124.625,86.41176605,11.69999981,10.59243679,25.75,26.27731133
289,3701,101,0,1,469.8588257,258.5882263,7.882352829,5.240715504,469.8588257,2306.588135,4.447058678,2.418156862,18.85882378,4.085281849,1.882352948,1.433287501,2.882352829,0.762035787,12.49411774,2.552957296,3.92941165,1.982118249,1.34117651,1.430536509
290,3703,103,0,1,1400.453125,981.640625,11.09375,13.18235302,1400.453125,3029.640625,8.84375,8.911765099,33.96875,36.77647018,5.21875,5.411764622,2.84375,4.15882349,23.65625,20.28823471,8.265625,8.088234901,4.265625,4.941176414
291,3709,109,0,1,1348.542114,1258.987915,25.37349319,23.03233337,1348.542114,3306.988037,5.74698782,5.1662817,31.67469788,20.15935326,1.686746955,2.344110966,2.433734894,2.240184784,11.39759064,7.71593523,5.819277287,4.221708775,21,14.97921467
292,3710,110,0,1,652.1204834,284.6264954,16.19277191,13.86831284,652.1204834,2332.626465,9.614458084,5.701646328,45.65060425,27.0596714,5.903614521,4.646090508,3.313252926,3.195473194,77.34939575,45.08436203,8.373494148,7.388888836,24,19.72633743
293,3715,115,0,1,1410.057739,942.2307739,14.51923084,10.057971,1410.057739,2990.230713,5.480769157,6.321739197,63.03845978,25.46666718,0.730769217,3.260869503,1.673076868,3.101449251,21.98077011,15.13623142,6.480769157,6.09275341,9.461538315,10.52753639
294,3720,120,0,1,424.734375,141.078125,20.25,12.95840263,424.734375,2189.078125,16.9375,10.15973377,27.859375,14.4143095,2.28125,2.399334431,1.125,1.860232949,45.796875,16.72545815,7.140625,4.251247883,13.703125,9.257903099
295,3729,129,0,1,1230.984131,224.5079346,19.79365158,25.01016235,1230.984131,2272.508057,6.873015881,5.430894375,25.82539749,21.07520294,3.93650794,2.534552813,2.301587343,2.518292665,23.5714283,17.71544647,7.015872955,6.347560883,19.49206352,18.20325279
296,3737,137,0,1,1196.34375,1157.296875,29.78125,49.59865189,1196.34375,3205.296875,12.34375,19.06408119,31.484375,16.65598679,6.328125,6.473861694,6,4.752108097,31.109375,13.31028652,12.921875,7.72344017,19,14.3237772
297,3739,139,0,1,422.777771,585.0158691,15.88888931,9.866013527,422.777771,2633.015869,12.76190472,6.450980186,9.936508179,12.64705849,2.984127045,2.382352829,1.539682508,2.558823586,65.76190186,27.72058868,9.428571701,4.941176414,12.01587296,8.573529243
298,3740,140,0,1,1583.802979,925.9697266,13.15151501,11.79207897,1583.802979,2973.969727,5.878787994,4.93069315,18.53030396,15.28712845,1.75757575,2.676567554,3.681818247,2.716171503,13.530303,7.158415794,5.878787994,3.924092293,4.606060505,3.438943863
299,3746,146,0,1,1387.70166,27.51612854,13.38709641,12.3300972,1387.70166,2075.516113,7.137096882,5.697087288,12.95161247,9.805825233,2.370967627,2.699029207,3.725806475,3.005825281,33.15322495,25.12038803,6.943548203,5.623301029,15.0967741,9.43106842
300,3752,152,0,1,1707.077759,837.2333374,6.677777767,8.066239357,1707.077759,2885.233398,8.766666412,7.262820721,21.27777863,15.30341911,1.255555511,2.141025543,2.077777863,1.623931646,54.58889008,31.97863197,10.48888874,5.431623936,20.96666718,11.07478619
301,3758,158,0,1,360.2325439,625.3023071,5.790697575,6.242165089,360.2325439,2673.302246,5.790697575,4.997150898,13.79069805,9.0427351,1.255813956,2.170940161,1.418604612,1.501424551,19,8.230769157,4.930232525,2.789173841,2.441860437,1.737891793
302,3761,161,0,1,1602.181763,971.2120972,11.63636398,10.60147572,1602.181763,3019.212158,5.530303001,4.236162186,29.39393997,20.11439133,1.727272749,2.154981613,2.590909004,2.867158651,31.92424202,17.3911438,8.71212101,5.704797268,3.696969748,4.029520512
303,3766,166,0,1,1298.677368,834.8064575,13.56451607,23.82995987,1298.677368,2882.806396,5.725806236,8.27327919,18.40322495,11.09311771,2.596774101,2.63765192,2.935483932,3.062752962,18.83870888,7.757084846,7.758064747,4.957489967,3.290322542,3.321862459
