Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
148,4641,1041,0,1,1521.76062,1168.563843,21.52127647,20.64007759,1521.76062,3216.563721,6.664893627,5.239299774,11.52659607,11.56420231,1.398936152,1.66926074,1.755319118,1.363813281,2.324468136,2.33073926,4.15425539,3.060311317,3.143616915,2.688715935
149,4644,1044,0,1,1235.271729,1314.49707,25.50288963,41.19421387,1235.271729,3362.49707,11.41618538,8.483470917,11.69942188,14.23347092,3.127167702,2.884297609,6.930635929,4.8801651,0.682080925,5.438016415,2.849710941,3.752066135,4.514451027,11.29132271
150,4645,1045,0,1,1458.469849,1439.073853,19.15436172,22.37010765,1458.469849,3487.07373,3.664429426,3.387900352,13.36241627,8.572954178,1.375838876,1.074733138,1.42281878,0.856464982,1.395973206,2.930011749,3.140939713,1.727164865,15.05369091,6.988137722
151,4661,1061,0,1,1309.957397,1280.02124,53.6595726,36.26415253,1309.957397,3328.02124,10.26595783,7.5,9.978723526,24.96226501,0.606382966,2.622641563,1.212765932,2.864779949,3.234042645,12.13522053,4.531914711,5.279874325,10.60638332,13.320755
152,4710,1110,0,1,1574.266724,1256.71106,18.67777824,17.83012772,1574.266724,3304.711182,7.511111259,4.907051086,10.86666679,14.09935856,1.666666627,1.756410241,0.822222233,1.192307711,2.233333349,2.913461447,3.799999952,2.942307711,3.622222185,4.868589878
153,4733,1133,0,1,1377.089233,1316.571411,14.5535717,10.64347839,1377.089233,3364.571533,6.883928776,8.949564934,26.6785717,14.64173889,3.142857075,2.648695707,6.383928776,7.158260822,2.633928537,4.445217609,0.544642866,1.20869565,1.758928537,2.939130545
154,4757,1157,0,1,1509.564819,1255.064819,15.60185146,10.50646019,1509.564819,3303.064697,9.79629612,8.117570877,12.90740776,10.71059418,2.166666746,2.258397818,2.185185194,1.554263592,3.07407403,6.533591747,3.962962866,3.103359222,10.65740776,9.571059227
155,4761,1161,0,1,1562.963257,857.625,15.7867651,17.5917263,1562.963257,2905.625,12.83088207,7.102518082,12.9117651,13.37589931,1.786764741,3.618705034,2.044117689,2.377697945,0.507352948,2.343525171,2.477941275,2.856115103,2.727941275,3.255395651
156,4770,1170,0,1,1644.660522,1178.351807,11.62345695,9.771428108,1644.660522,3226.351807,10.01851845,9.192856789,41.44444275,28.06999969,1.567901254,2.724285603,2.11728406,1.951428533,3.604938269,5.167142868,4.567901134,3.274285793,13.40740776,8.640000343
157,4795,1195,0,1,1668.5354,1228.383789,13.56565666,11.34526825,1668.5354,3276.383789,8.78787899,9.409207344,35.61616135,30.23017883,2.888888836,3.69309473,2.323232412,2.127877235,3.333333254,7.603580475,3.383838415,3.368286371,14.20202065,11.79283905
158,4796,1196,0,1,1603.612549,1421.212524,19.4375,16.57685661,1603.612549,3469.212402,14.88749981,9.870466232,48.96875,31.40414429,2.03125,3.768566608,1.706249952,2.611398935,7.143750191,7.379965305,4.787499905,3.778929234,20.20624924,15.06908417
159,4798,1198,0,1,1021.799988,1277.822266,25.15555573,42.88308334,1021.799988,3325.822266,16.99444389,19.514925,26.66666603,19.94776154,4.111111164,3.308457613,2.549999952,2.860696554,0.711111128,2.467661619,4,3.453980207,4.466666698,4.097014904
160,4807,1207,0,1,1349.47644,872.1588135,28.11176491,24.8563633,1349.47644,2920.158936,17.87647057,16.9309082,9.547059059,11.75090885,0.79411763,2.796363592,2.405882359,2.783636332,6.329411983,4.049090862,4.035294056,3.652727365,2.641176462,2.558181763
161,4822,1222,0,1,1363.792236,341.1753235,34.09740448,41.65776443,1363.792236,2389.175293,10.61038971,8.018363953,18,14.29883099,1.88961041,2.78798008,2.051948071,2.479131937,0.090909094,0.716193676,2.525974035,2.801335573,2.246753216,4.472454071
162,4844,1244,0,1,1172.455566,1319.792847,31.92899323,22.00618172,1172.455566,3367.792969,7.360946655,7.200927258,10.15384579,7.075734138,1.301775098,1.663060308,1.562130213,1.319938183,0.562130153,1.652241111,3.147928953,2.411128283,12.89940834,10.77588844
163,4849,1249,0,1,1239.491211,958.824585,28.58771896,21.38397408,1239.491211,3006.824463,7.3157897,9.218697548,11.78070164,7.619365692,2.508771896,3.243739605,1.070175409,2.258764505,5.692982674,3.762938261,3.850877285,3.836394072,3.008771896,4.415692806
164,4855,1255,0,1,1619.043335,1265.711182,16.20577621,16.74528313,1619.043335,3313.711182,6.610108376,7.718029499,11.09386253,9.027254105,0.509025276,1.262054563,1.039711237,1.079664588,4.180505276,5.468553543,2.89891696,2.605870008,3.364620924,3.708595276
165,4883,1283,0,1,1700.672363,1366.405151,8.258620262,7.370324135,1700.672363,3414.405273,8.577586174,5.97506237,12.84482765,7.134663105,0.663793087,1.674563646,2.060344934,1.185785532,3.637931108,6.699501038,3.913793087,2.825436354,4.413793087,3.487531185
