Event #,Cell_ID,label,Tile_row,Tile_col,centroid-0,centroid-1,mean_intensity_PD-1_nuc,mean_intensity_PD-1_cell,Global_y,Global_x,mean_intensity_PD-L1_nuc,mean_intensity_PD-L1_cell,mean_intensity_CD68_nuc,mean_intensity_CD68_cell,mean_intensity_CD3_nuc,mean_intensity_CD3_cell,mean_intensity_FoxP3_nuc,mean_intensity_FoxP3_cell,mean_intensity_Iba-1_nuc,mean_intensity_Iba-1_cell,mean_intensity_CD8_nuc,mean_intensity_CD8_cell,mean_intensity_CD4_nuc,mean_intensity_CD4_cell
200,6033,917,1,0,605.5238037,1110.58728,15.13492107,17.70612907,2653.523926,1110.58728,26.04761887,13.12674141,1.253968239,4.583565235,2.793650866,3.260445595,0.809523821,2.278551579,0.349206358,3.685236692,2.928571463,3.594707489,2.476190567,2.725626707
201,6039,923,1,0,650.3388672,804.4628296,22.71074295,18.74931145,2698.338867,804.4628296,24.76859474,11.10468292,0.413223147,2.67906332,4.264462948,3.878787994,1.528925657,2.584022045,0.983471096,4.006886959,5.404958725,3.851239681,5.297520638,3.867768526
202,6046,930,1,0,1477.099976,1929.846191,6.392307758,8.47246933,3525.100098,1929.846191,25.59230804,11.92895222,1.353846192,3.960923672,0.846153855,1.387211323,0.261538476,1.184724689,2.938461542,5.106572151,2.115384579,2.982238054,2.369230747,3.699822426
203,6080,964,1,0,779.9926147,1566.718506,8.562962532,9.20165062,2827.992676,1566.718506,25.01481438,9.827830315,0.740740716,2.683962345,0.911111116,2.738207579,1.799999952,1.989386797,2.555555582,8.628538132,4.066666603,4.343160152,2.792592525,3.774764061
204,6096,980,1,0,546.8392944,920.9464111,9.934523582,13.38286304,2594.839355,920.9464111,19.9821434,9.486985207,1.553571463,2.778741837,3.184523821,4.15075922,2.726190567,2.361171484,0.625,6.421908855,3.446428537,4.030368805,3.023809433,2.804772139
205,6123,1007,1,0,373.0210571,1384.136841,9.273684502,12.56236744,2421.020996,1384.136841,21.11052704,11.89640617,2.184210539,5.684989452,0.889473677,3.218816042,1.457894683,2.421775818,2.384210587,7.721987247,3.578947306,4.255814075,3.047368526,3.608879566
206,6131,1015,1,0,623.7051392,990.0961304,140.9679413,92.01184845,2671.705078,990.0961304,21.9871788,13.3674078,2.217948675,5.294814587,2.50641036,2.34518528,1.179487228,1.592592597,0.391025633,2.808888912,2.108974457,2.583703756,2.737179518,4.155555725
207,6140,1024,1,0,520.1795044,989.0939941,26.12820435,16.98473358,2568.179443,989.0939941,21.64102554,9.759541512,3.897435904,3.722646236,4.273504257,3.138676882,3.52136755,3.134860039,1.940170884,3.778625965,6.153846264,3.909669161,3.581196547,2.935114622
208,6158,1042,1,0,825.7540283,1301.294067,11.6684494,12.90929222,2873.753906,1301.294067,25.70053482,11.81747818,3.42780757,4.737832069,1.010695219,2.632743359,2.540107012,2.5,0.609625697,5.710176945,5.401069641,4.815265656,3.636363745,5.97123909
209,6159,1043,1,0,598.6716309,880.7537231,21.35074615,18.99755287,2646.671631,880.7537231,21.91790962,11.81762505,1.313432813,3.452876329,5.395522594,4.269278049,2.529850721,2.741738081,0.686567187,4.03794384,4.791044712,4.209302425,3.559701443,3.533659697
